Combinations,Annoyance,HA,LOG10VDV,LAE,20LOG10VDV
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,4,0,-1.457253405,60,-29.1450681
V1N1,NA,NA,-1.457253405,60,-29.1450681
V1N1,NA,NA,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,1,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N1,2,0,-1.457253405,60,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,3,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,3,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,3,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,4,0,-1.457253405,66,-29.1450681
V1N2,NA,NA,-1.457253405,66,-29.1450681
V1N2,NA,NA,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,1,0,-1.457253405,66,-29.1450681
V1N2,2,0,-1.457253405,66,-29.1450681
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,3,0,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
V2N1,3,0,-1.155623701,60,-23.11247402
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,3,0,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,4,0,-1.155623701,60,-23.11247402
V2N1,NA,NA,-1.155623701,60,-23.11247402
V2N1,NA,NA,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,3,0,-1.155623701,60,-23.11247402
V2N1,1,0,-1.155623701,60,-23.11247402
V2N1,2,0,-1.155623701,60,-23.11247402
V2N1,2,0,-1.155623701,60,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N2,1,0,-1.155623701,66,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N2,2,0,-1.155623701,66,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N2,4,0,-1.155623701,66,-23.11247402
V2N2,5,0,-1.155623701,66,-23.11247402
V2N2,4,0,-1.155623701,66,-23.11247402
V2N2,NA,NA,-1.155623701,66,-23.11247402
V2N2,NA,NA,-1.155623701,66,-23.11247402
V2N2,2,0,-1.155623701,66,-23.11247402
V2N2,2,0,-1.155623701,66,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N2,4,0,-1.155623701,66,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N2,2,0,-1.155623701,66,-23.11247402
V2N2,2,0,-1.155623701,66,-23.11247402
V2N2,2,0,-1.155623701,66,-23.11247402
V2N2,3,0,-1.155623701,66,-23.11247402
V2N3,3,0,-1.155623701,72,-23.11247402
V2N3,5,0,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V2N3,4,0,-1.155623701,72,-23.11247402
V2N3,3,0,-1.155623701,72,-23.11247402
V2N3,3,0,-1.155623701,72,-23.11247402
V2N3,4,0,-1.155623701,72,-23.11247402
V2N3,4,0,-1.155623701,72,-23.11247402
V2N3,5,0,-1.155623701,72,-23.11247402
V2N3,NA,NA,-1.155623701,72,-23.11247402
V2N3,NA,NA,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V2N3,5,0,-1.155623701,72,-23.11247402
V2N3,4,0,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V2N3,1,0,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V2N3,2,0,-1.155623701,72,-23.11247402
V3N1,3,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,5,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,3,0,-0.958907283,60,-19.17814566
V3N1,4,0,-0.958907283,60,-19.17814566
V3N1,NA,NA,-0.958907283,60,-19.17814566
V3N1,NA,NA,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,3,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,3,0,-0.958907283,60,-19.17814566
V3N1,3,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,2,0,-0.958907283,60,-19.17814566
V3N1,4,0,-0.958907283,60,-19.17814566
V3N2,3,0,-0.958907283,66,-19.17814566
V3N2,4,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,3,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,5,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,4,0,-0.958907283,66,-19.17814566
V3N2,6,1,-0.958907283,66,-19.17814566
V3N2,NA,NA,-0.958907283,66,-19.17814566
V3N2,NA,NA,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,4,0,-0.958907283,66,-19.17814566
V3N2,4,0,-0.958907283,66,-19.17814566
V3N2,3,0,-0.958907283,66,-19.17814566
V3N2,1,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N2,2,0,-0.958907283,66,-19.17814566
V3N3,4,0,-0.958907283,72,-19.17814566
V3N3,5,0,-0.958907283,72,-19.17814566
V3N3,2,0,-0.958907283,72,-19.17814566
V3N3,4,0,-0.958907283,72,-19.17814566
V3N3,4,0,-0.958907283,72,-19.17814566
V3N3,6,1,-0.958907283,72,-19.17814566
V3N3,2,0,-0.958907283,72,-19.17814566
V3N3,5,0,-0.958907283,72,-19.17814566
V3N3,6,1,-0.958907283,72,-19.17814566
V3N3,NA,NA,-0.958907283,72,-19.17814566
V3N3,NA,NA,-0.958907283,72,-19.17814566
V3N3,3,0,-0.958907283,72,-19.17814566
V3N3,2,0,-0.958907283,72,-19.17814566
V3N3,2,0,-0.958907283,72,-19.17814566
V3N3,2,0,-0.958907283,72,-19.17814566
V3N3,5,0,-0.958907283,72,-19.17814566
V3N3,3,0,-0.958907283,72,-19.17814566
V3N3,1,0,-0.958907283,72,-19.17814566
V3N3,4,0,-0.958907283,72,-19.17814566
V3N3,2,0,-0.958907283,72,-19.17814566
V3N4,5,0,-0.958907283,78,-19.17814566
V3N4,5,0,-0.958907283,78,-19.17814566
V3N4,3,0,-0.958907283,78,-19.17814566
V3N4,6,1,-0.958907283,78,-19.17814566
V3N4,5,0,-0.958907283,78,-19.17814566
V3N4,5,0,-0.958907283,78,-19.17814566
V3N4,4,0,-0.958907283,78,-19.17814566
V3N4,5,0,-0.958907283,78,-19.17814566
V3N4,6,1,-0.958907283,78,-19.17814566
V3N4,NA,NA,-0.958907283,78,-19.17814566
V3N4,NA,NA,-0.958907283,78,-19.17814566
V3N4,4,0,-0.958907283,78,-19.17814566
V3N4,3,0,-0.958907283,78,-19.17814566
V3N4,2,0,-0.958907283,78,-19.17814566
V3N4,4,0,-0.958907283,78,-19.17814566
V3N4,4,0,-0.958907283,78,-19.17814566
V3N4,5,0,-0.958907283,78,-19.17814566
V3N4,2,0,-0.958907283,78,-19.17814566
V3N4,4,0,-0.958907283,78,-19.17814566
V3N4,2,0,-0.958907283,78,-19.17814566
V4N1,2,0,-0.726527807,60,-14.53055614
V4N1,5,0,-0.726527807,60,-14.53055614
V4N1,3,0,-0.726527807,60,-14.53055614
V4N1,3,0,-0.726527807,60,-14.53055614
V4N1,3,0,-0.726527807,60,-14.53055614
V4N1,6,1,-0.726527807,60,-14.53055614
V4N1,3,0,-0.726527807,60,-14.53055614
V4N1,4,0,-0.726527807,60,-14.53055614
V4N1,6,1,-0.726527807,60,-14.53055614
V4N1,NA,NA,-0.726527807,60,-14.53055614
V4N1,NA,NA,-0.726527807,60,-14.53055614
V4N1,2,0,-0.726527807,60,-14.53055614
V4N1,2,0,-0.726527807,60,-14.53055614
V4N1,2,0,-0.726527807,60,-14.53055614
V4N1,3,0,-0.726527807,60,-14.53055614
V4N1,5,0,-0.726527807,60,-14.53055614
V4N1,4,0,-0.726527807,60,-14.53055614
V4N1,1,0,-0.726527807,60,-14.53055614
V4N1,3,0,-0.726527807,60,-14.53055614
V4N1,4,0,-0.726527807,60,-14.53055614
V4N2,4,0,-0.726527807,66,-14.53055614
V4N2,4,0,-0.726527807,66,-14.53055614
V4N2,1,0,-0.726527807,66,-14.53055614
V4N2,3,0,-0.726527807,66,-14.53055614
V4N2,3,0,-0.726527807,66,-14.53055614
V4N2,5,0,-0.726527807,66,-14.53055614
V4N2,3,0,-0.726527807,66,-14.53055614
V4N2,5,0,-0.726527807,66,-14.53055614
V4N2,6,1,-0.726527807,66,-14.53055614
V4N2,NA,NA,-0.726527807,66,-14.53055614
V4N2,NA,NA,-0.726527807,66,-14.53055614
V4N2,3,0,-0.726527807,66,-14.53055614
V4N2,2,0,-0.726527807,66,-14.53055614
V4N2,4,0,-0.726527807,66,-14.53055614
V4N2,2,0,-0.726527807,66,-14.53055614
V4N2,5,0,-0.726527807,66,-14.53055614
V4N2,4,0,-0.726527807,66,-14.53055614
V4N2,2,0,-0.726527807,66,-14.53055614
V4N2,2,0,-0.726527807,66,-14.53055614
V4N2,2,0,-0.726527807,66,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,5,0,-0.726527807,72,-14.53055614
V4N3,2,0,-0.726527807,72,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,5,0,-0.726527807,72,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,5,0,-0.726527807,72,-14.53055614
V4N3,6,1,-0.726527807,72,-14.53055614
V4N3,NA,NA,-0.726527807,72,-14.53055614
V4N3,NA,NA,-0.726527807,72,-14.53055614
V4N3,2,0,-0.726527807,72,-14.53055614
V4N3,2,0,-0.726527807,72,-14.53055614
V4N3,2,0,-0.726527807,72,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,5,0,-0.726527807,72,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,2,0,-0.726527807,72,-14.53055614
V4N3,4,0,-0.726527807,72,-14.53055614
V4N3,3,0,-0.726527807,72,-14.53055614
V4N4,5,0,-0.726527807,78,-14.53055614
V4N4,5,0,-0.726527807,78,-14.53055614
V4N4,2,0,-0.726527807,78,-14.53055614
V4N4,4,0,-0.726527807,78,-14.53055614
V4N4,5,0,-0.726527807,78,-14.53055614
V4N4,5,0,-0.726527807,78,-14.53055614
V4N4,4,0,-0.726527807,78,-14.53055614
V4N4,4,0,-0.726527807,78,-14.53055614
V4N4,7,1,-0.726527807,78,-14.53055614
V4N4,NA,NA,-0.726527807,78,-14.53055614
V4N4,NA,NA,-0.726527807,78,-14.53055614
V4N4,3,0,-0.726527807,78,-14.53055614
V4N4,3,0,-0.726527807,78,-14.53055614
V4N4,5,0,-0.726527807,78,-14.53055614
V4N4,4,0,-0.726527807,78,-14.53055614
V4N4,5,0,-0.726527807,78,-14.53055614
V4N4,3,0,-0.726527807,78,-14.53055614
V4N4,3,0,-0.726527807,78,-14.53055614
V4N4,3,0,-0.726527807,78,-14.53055614
V4N4,3,0,-0.726527807,78,-14.53055614
V4N5,6,1,-0.726527807,84,-14.53055614
V4N5,6,1,-0.726527807,84,-14.53055614
V4N5,3,0,-0.726527807,84,-14.53055614
V4N5,7,1,-0.726527807,84,-14.53055614
V4N5,6,1,-0.726527807,84,-14.53055614
V4N5,7,1,-0.726527807,84,-14.53055614
V4N5,6,1,-0.726527807,84,-14.53055614
V4N5,6,1,-0.726527807,84,-14.53055614
V4N5,6,1,-0.726527807,84,-14.53055614
V4N5,NA,NA,-0.726527807,84,-14.53055614
V4N5,NA,NA,-0.726527807,84,-14.53055614
V4N5,5,0,-0.726527807,84,-14.53055614
V4N5,3,0,-0.726527807,84,-14.53055614
V4N5,4,0,-0.726527807,84,-14.53055614
V4N5,3,0,-0.726527807,84,-14.53055614
V4N5,4,0,-0.726527807,84,-14.53055614
V4N5,5,0,-0.726527807,84,-14.53055614
V4N5,3,0,-0.726527807,84,-14.53055614
V4N5,5,0,-0.726527807,84,-14.53055614
V4N5,5,0,-0.726527807,84,-14.53055614
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,4,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,6,1,-0.420210088,60,-8.40420176
V5N1,NA,NA,-0.420210088,60,-8.40420176
V5N1,NA,NA,-0.420210088,60,-8.40420176
V5N1,3,0,-0.420210088,60,-8.40420176
V5N1,3,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,6,1,-0.420210088,60,-8.40420176
V5N1,3,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N1,4,0,-0.420210088,60,-8.40420176
V5N1,3,0,-0.420210088,60,-8.40420176
V5N1,5,0,-0.420210088,60,-8.40420176
V5N2,5,0,-0.420210088,66,-8.40420176
V5N2,3,0,-0.420210088,66,-8.40420176
V5N2,5,0,-0.420210088,66,-8.40420176
V5N2,7,1,-0.420210088,66,-8.40420176
V5N2,4,0,-0.420210088,66,-8.40420176
V5N2,5,0,-0.420210088,66,-8.40420176
V5N2,6,1,-0.420210088,66,-8.40420176
V5N2,6,1,-0.420210088,66,-8.40420176
V5N2,7,1,-0.420210088,66,-8.40420176
V5N2,NA,NA,-0.420210088,66,-8.40420176
V5N2,NA,NA,-0.420210088,66,-8.40420176
V5N2,4,0,-0.420210088,66,-8.40420176
V5N2,3,0,-0.420210088,66,-8.40420176
V5N2,5,0,-0.420210088,66,-8.40420176
V5N2,6,1,-0.420210088,66,-8.40420176
V5N2,6,1,-0.420210088,66,-8.40420176
V5N2,5,0,-0.420210088,66,-8.40420176
V5N2,4,0,-0.420210088,66,-8.40420176
V5N2,5,0,-0.420210088,66,-8.40420176
V5N2,3,0,-0.420210088,66,-8.40420176
V5N3,6,1,-0.420210088,72,-8.40420176
V5N3,5,0,-0.420210088,72,-8.40420176
V5N3,8,1,-0.420210088,72,-8.40420176
V5N3,6,1,-0.420210088,72,-8.40420176
V5N3,6,1,-0.420210088,72,-8.40420176
V5N3,7,1,-0.420210088,72,-8.40420176
V5N3,3,0,-0.420210088,72,-8.40420176
V5N3,5,0,-0.420210088,72,-8.40420176
V5N3,6,1,-0.420210088,72,-8.40420176
V5N3,NA,NA,-0.420210088,72,-8.40420176
V5N3,NA,NA,-0.420210088,72,-8.40420176
V5N3,3,0,-0.420210088,72,-8.40420176
V5N3,3,0,-0.420210088,72,-8.40420176
V5N3,5,0,-0.420210088,72,-8.40420176
V5N3,5,0,-0.420210088,72,-8.40420176
V5N3,6,1,-0.420210088,72,-8.40420176
V5N3,5,0,-0.420210088,72,-8.40420176
V5N3,3,0,-0.420210088,72,-8.40420176
V5N3,3,0,-0.420210088,72,-8.40420176
V5N3,6,1,-0.420210088,72,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N4,5,0,-0.420210088,78,-8.40420176
V5N4,4,0,-0.420210088,78,-8.40420176
V5N4,7,1,-0.420210088,78,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N4,5,0,-0.420210088,78,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N4,NA,NA,-0.420210088,78,-8.40420176
V5N4,NA,NA,-0.420210088,78,-8.40420176
V5N4,4,0,-0.420210088,78,-8.40420176
V5N4,2,0,-0.420210088,78,-8.40420176
V5N4,5,0,-0.420210088,78,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N4,7,1,-0.420210088,78,-8.40420176
V5N4,5,0,-0.420210088,78,-8.40420176
V5N4,3,0,-0.420210088,78,-8.40420176
V5N4,4,0,-0.420210088,78,-8.40420176
V5N4,6,1,-0.420210088,78,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,6,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,NA,NA,-0.420210088,84,-8.40420176
V5N5,NA,NA,-0.420210088,84,-8.40420176
V5N5,5,0,-0.420210088,84,-8.40420176
V5N5,5,0,-0.420210088,84,-8.40420176
V5N5,6,1,-0.420210088,84,-8.40420176
V5N5,6,1,-0.420210088,84,-8.40420176
V5N5,7,1,-0.420210088,84,-8.40420176
V5N5,5,0,-0.420210088,84,-8.40420176
V5N5,5,0,-0.420210088,84,-8.40420176
V5N5,5,0,-0.420210088,84,-8.40420176
V5N5,5,0,-0.420210088,84,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,5,0,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
V5N6,NA,NA,-0.420210088,90,-8.40420176
V5N6,NA,NA,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
V5N6,5,0,-0.420210088,90,-8.40420176
V5N6,5,0,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
V5N6,7,1,-0.420210088,90,-8.40420176
V5N6,6,1,-0.420210088,90,-8.40420176
