Noise,LEA,AN,Vibration,20LOG10VDV,LOG10VDV,AV
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,3.192833637,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,3.192833637,V1N0,-29.16363982,-1.458181991,2.202774636
N1V0,59,3.192833637,V1N0,-29.16363982,-1.458181991,2.202774636
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,0.815,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,0.815,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,3.192833637,V1N0,-29.16363982,-1.458181991,2.202774636
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,0.815,V1N0,-29.16363982,-1.458181991,NA
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,0.815,V1N0,-29.16363982,-1.458181991,NA
N1V0,59,3.883237714,V1N0,-29.16363982,-1.458181991,3.192833637
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,NA
N1V0,59,0.815,V1N0,-29.16363982,-1.458181991,NA
N1V0,59,3.192833637,V1N0,-29.16363982,-1.458181991,0.815
N1V0,59,2.202774636,V1N0,-29.16363982,-1.458181991,2.202774636
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,2.202774636
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,2.202774636
N2V0,65,2.202774636,V2N0,-22.71852752,-1.135926376,0.815
N2V0,65,4.537024483,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,2.202774636
N2V0,65,2.202774636,V2N0,-22.71852752,-1.135926376,0.815
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,3.883237714,V2N0,-22.71852752,-1.135926376,4.537024483
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,2.202774636
N2V0,65,0.815,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,0.815
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,2.202774636
N2V0,65,2.202774636,V2N0,-22.71852752,-1.135926376,NA
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,2.202774636,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,2.202774636,V2N0,-22.71852752,-1.135926376,3.192833637
N2V0,65,0.815,V2N0,-22.71852752,-1.135926376,0.815
N2V0,65,3.192833637,V2N0,-22.71852752,-1.135926376,2.202774636
N2V0,65,2.202774636,V2N0,-22.71852752,-1.135926376,NA
N3V0,71,4.537024483,V3N0,-16.54933262,-0.827466631,2.202774636
N3V0,71,4.537024483,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,0.815
N3V0,71,6.237370812,V3N0,-16.54933262,-0.827466631,4.537024483
N3V0,71,3.192833637,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,3.883237714,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,2.202774636
N3V0,71,3.883237714,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,3.883237714,V3N0,-16.54933262,-0.827466631,3.883237714
N3V0,71,3.883237714,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,3.192833637,V3N0,-16.54933262,-0.827466631,4.537024483
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,2.202774636
N3V0,71,3.192833637,V3N0,-16.54933262,-0.827466631,2.202774636
N3V0,71,3.883237714,V3N0,-16.54933262,-0.827466631,NA
N3V0,71,4.537024483,V3N0,-16.54933262,-0.827466631,3.883237714
N3V0,71,3.192833637,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,3.192833637
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,0.815
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,2.202774636
N3V0,71,2.202774636,V3N0,-16.54933262,-0.827466631,NA
N4V0,77,5.297576177,V4N0,-12.91663896,-0.645831948,5.297576177
N4V0,77,3.883237714,V4N0,-12.91663896,-0.645831948,2.202774636
N4V0,77,3.883237714,V4N0,-12.91663896,-0.645831948,3.192833637
N4V0,77,6.237370812,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,6.237370812,V4N0,-12.91663896,-0.645831948,3.883237714
N4V0,77,6.237370812,V4N0,-12.91663896,-0.645831948,3.883237714
N4V0,77,3.192833637,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,4.537024483,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,3.883237714,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,6.237370812,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,4.537024483,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,3.192833637,V4N0,-12.91663896,-0.645831948,2.202774636
N4V0,77,3.192833637,V4N0,-12.91663896,-0.645831948,3.192833637
N4V0,77,3.192833637,V4N0,-12.91663896,-0.645831948,3.192833637
N4V0,77,4.537024483,V4N0,-12.91663896,-0.645831948,3.192833637
N4V0,77,3.192833637,V4N0,-12.91663896,-0.645831948,2.202774636
N4V0,77,5.297576177,V4N0,-12.91663896,-0.645831948,3.192833637
N4V0,77,4.537024483,V4N0,-12.91663896,-0.645831948,4.537024483
N4V0,77,3.192833637,V4N0,-12.91663896,-0.645831948,2.202774636
N4V0,77,4.537024483,V4N0,-12.91663896,-0.645831948,3.883237714
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,5.297576177,V5N0,-7.19785624,-0.359892812,2.202774636
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,3.883237714
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,5.297576177,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,4.537024483
N5V0,83,3.883237714,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,4.537024483,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,5.297576177,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,5.297576177
N5V0,83,4.537024483,V5N0,-7.19785624,-0.359892812,3.883237714
N5V0,83,3.192833637,V5N0,-7.19785624,-0.359892812,3.192833637
N5V0,83,3.192833637,V5N0,-7.19785624,-0.359892812,3.192833637
N5V0,83,4.537024483,V5N0,-7.19785624,-0.359892812,4.537024483
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,6.237370812
N5V0,83,5.297576177,V5N0,-7.19785624,-0.359892812,3.192833637
N5V0,83,6.237370812,V5N0,-7.19785624,-0.359892812,3.192833637
N5V0,83,4.537024483,V5N0,-7.19785624,-0.359892812,4.537024483
N5V0,83,4.537024483,V5N0,-7.19785624,-0.359892812,3.883237714
N5V0,83,4.537024483,V5N0,-7.19785624,-0.359892812,4.537024483
N6V0,89,6.237370812,,,,
N6V0,89,6.237370812,,,,
N6V0,89,6.237370812,,,,
N6V0,89,6.237370812,,,,
N6V0,89,6.237370812,,,,
N6V0,89,6.237370812,,,,
N6V0,89,5.297576177,,,,
N6V0,89,6.237370812,,,,
N6V0,89,5.297576177,,,,
N6V0,89,6.237370812,,,,
N6V0,89,6.237370812,,,,
N6V0,89,4.537024483,,,,
N6V0,89,4.537024483,,,,
N6V0,89,5.297576177,,,,
N6V0,89,6.237370812,,,,
N6V0,89,4.537024483,,,,
N6V0,89,5.297576177,,,,
N6V0,89,5.297576177,,,,
N6V0,89,5.297576177,,,,
N6V0,89,5.297576177,,,,
